ID ,Year,Week,Colombo,Gampaha,Kalutara,Kandy,Matale,Nuwara Eliya,Galle,Hambantota,Matara,Jaffna,Kilinochchi,Mannar,Vavuniya,Mulative,Batticalo,Ampara,Trincomalee,Kurunagala,Puttalam,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Ratnapura,Kegalle
248,2013,42,48,40,22,11,4,2,3,0,3,9,1,0,1,2,3,0,0,15,2,2,2,5,5,4,16
249,2013,43,164,49,22,17,3,4,6,7,5,19,0,2,1,0,1,3,3,21,6,8,12,7,5,19,34
250,2013,44,145,59,20,9,1,2,1,0,4,10,0,0,0,0,2,8,0,9,3,4,5,6,1,5,17
251,2013,45,177,62,23,25,10,2,13,4,6,11,0,0,0,0,2,7,1,13,10,4,11,6,4,7,16
252,2013,46,139,44,24,16,7,4,14,4,7,7,1,0,0,1,0,3,0,21,13,4,9,6,2,9,19
253,2013,47,123,36,34,17,2,5,16,5,10,10,0,0,1,2,4,5,4,17,7,1,8,10,4,18,27
254,2013,48,215,110,36,12,8,3,10,4,3,12,0,0,1,1,3,4,1,27,7,3,3,4,1,10,20
255,2013,49,254,40,37,9,11,9,10,2,11,25,0,0,0,0,6,4,0,21,8,9,10,7,4,7,12
256,2013,50,256,44,32,28,3,5,13,7,10,26,0,0,0,0,4,2,0,24,16,13,6,3,2,4,24
257,2013,51,249,23,49,18,4,6,29,6,10,19,1,0,3,0,9,5,1,15,10,11,11,5,0,8,22
258,2013,52,329,44,19,22,10,2,27,5,6,34,0,1,1,0,2,13,5,17,15,14,7,9,3,10,18
259,2014,1,244,103,48,16,8,8,17,13,10,43,1,1,1,3,5,5,3,25,22,3,9,11,5,12,18
260,2014,2,193,68,55,19,3,9,25,10,12,23,2,1,1,3,6,0,11,27,9,7,5,9,3,8,21
261,2014,3,299,87,42,9,4,1,19,5,9,10,0,0,2,3,4,3,8,22,16,13,17,3,5,17,9
262,2014,4,200,81,49,13,5,3,17,5,12,31,0,0,0,1,10,12,13,28,19,15,4,10,2,15,17
263,2014,5,142,66,16,11,3,1,18,9,7,24,0,0,0,1,12,1,7,28,14,5,0,7,2,15,6
264,2014,6,118,55,35,7,3,1,11,6,8,15,3,0,0,5,11,2,11,29,16,12,0,12,8,10,10
265,2014,7,143,52,31,13,5,2,1,5,12,27,0,0,1,3,11,4,4,28,4,6,0,9,2,11,14
266,2014,8,182,64,37,10,5,6,1,11,8,25,1,1,5,0,15,8,5,16,2,7,0,14,8,4,15
267,2014,9,136,34,19,8,8,4,8,4,3,23,1,0,1,0,13,6,15,14,4,7,0,3,1,2,11
268,2014,10,144,46,32,4,2,1,3,3,6,4,1,0,2,0,22,2,24,20,5,8,0,16,4,11,9
269,2014,11,69,34,23,13,3,2,12,3,1,12,0,0,1,3,24,8,8,14,3,4,0,2,8,9,8
270,2014,12,128,43,22,9,7,2,18,2,3,14,1,0,0,6,47,3,2,22,2,6,0,9,7,5,12
271,2014,13,60,8,18,9,4,1,3,2,1,7,0,0,0,0,39,5,27,11,6,4,0,4,2,4,8
272,2014,14,71,41,18,8,1,2,6,11,3,16,0,0,0,0,22,3,22,15,1,5,0,4,3,3,7
273,2014,15,52,16,12,6,1,2,5,2,6,7,0,0,0,0,4,0,0,1,4,1,0,1,0,1,7
274,2014,16,42,12,9,3,1,2,2,0,0,6,0,0,0,0,16,2,40,6,4,4,0,0,2,0,3
275,2014,17,159,29,47,17,4,5,8,2,4,15,0,0,0,0,24,6,26,7,10,8,0,2,1,12,24
276,2014,18,115,84,21,11,1,4,11,4,3,12,0,0,0,0,25,8,26,6,1,1,0,2,0,5,17
277,2014,19,146,31,21,5,2,3,13,1,8,11,0,0,0,0,16,6,16,7,0,1,0,1,1,6,16
278,2014,20,154,35,25,4,2,4,7,5,1,16,0,0,0,0,24,2,10,8,1,0,0,4,1,15,22
279,2014,21,329,113,37,34,2,2,20,2,6,7,0,0,0,0,17,1,15,14,7,1,0,7,4,38,41
